player_id,family_name,given_name,birth_date,count_tournaments
P-01284,Abreu,Marco,1974-12-08,1
P-09248,Abreu,Sebastián,1976-10-17,2
P-02948,Acácio,not applicable,1959-01-20,1
P-08293,Acasuzo,Eusebio,1952-04-08,1
P-03927,Aceros,Germán,1938-09-30,1
P-00687,Aceval,Danilo,1975-09-15,1
P-04924,Acevedo,David,1937-02-20,1
P-08292,Acevedo,Eduardo Mario,1959-09-25,1
P-00615,Acevedo,Elmer,1946-02-24,1
P-00263,Achá,Alberto,1917-02-18,1
P-04368,Achilier,Gabriel,1985-03-24,1
P-04394,Achúcarro,Ignacio,1936-07-31,1
P-09405,Aćimović,Jovan,1948-06-21,1
P-00419,Ačimovič,Milenko,1977-02-15,1
P-01630,Acosta,Jhonny,1983-07-21,2
P-07165,Acquah,Afriyie,1992-01-05,1
P-07169,Acuña,Clarence,1975-02-08,1
P-00912,Acuña,Juan,1923-01-11,1
P-05355,Acuña,Marcos,1991-10-28,1
P-07815,Acuña,Roberto,1972-03-25,3
P-05203,Adam,Glen,1959-05-22,1
P-00659,Adamache,Stere,1941-08-17,1
P-03688,Adamec,Jozef,1942-02-26,2
P-08988,Adams,Ferdinand,1903-05-03,1
P-06941,Adams,Stephen,1989-09-28,1
P-08896,Adams,Tony,1966-10-10,1
P-07835,Adamson,Jimmy,1929-04-04,1
P-03870,Adãozinho,not applicable,1923-04-02,1
P-00163,Addo,Eric,1978-11-12,1
P-09971,Addo,Otto,1975-06-09,1
P-08496,Addy,Lee,1985-09-26,1
P-05661,Adebayor,Emmanuel,1984-02-26,1
P-06220,Adelardo,not applicable,1939-09-26,2
P-08351,Adeleye,Dele,1988-12-25,1
P-04188,Ademir,not applicable,1922-11-08,1
P-07662,Adepoju,Mutiu,1970-12-22,3
P-00088,Adiyiah,Dominic,1989-11-29,1
P-07070,Adjei,Sammy,1980-09-01,1
P-02968,Ado,not applicable,1946-07-04,1
P-05758,Adomah,Albert,1987-12-13,1
P-08367,Adriano,not applicable,1982-02-17,1
P-08418,Advíncula,Luis,1990-03-02,1
P-09079,Aeby,Georges,1910-09-10,1
P-00906,Aeby,Paul,1910-09-10,1
P-02560,Afellay,Ibrahim,1986-04-02,1
P-07574,Afful,Harrison,1986-06-24,1
P-02686,Afolabi,Rabiu,1980-04-18,2
P-05721,Afonin,Valentin,1939-12-22,2
P-08254,Afonsinho,not applicable,1914-03-08,1
P-05991,Agassa,Kossi,1978-07-02,1
P-09211,Agbim,Chigozie,1984-11-28,1
P-07029,Agbo,Hans,1967-09-26,1
P-07762,Agboh,Kuami,1977-12-28,1
P-05233,Agbonavbare,Wilfred,1966-10-05,1
P-08906,Agger,Daniel,1984-12-12,1
P-04240,Aghahowa,Julius,1982-02-12,1
P-07349,Agoos,Jeff,1968-05-02,2
P-03564,Agrebi,Hamadi,1951-03-20,1
P-03208,Agu,Alloysius,1967-07-12,1
P-00354,Águas,Rui,1960-04-28,1
P-09997,Agüero,Juan Bautista,1935-06-24,1
P-01157,Agüero,Sergio,1988-06-02,3
P-09009,Aguilar,Abel,1985-01-06,2
P-08992,Aguilar,Paul,1986-03-06,2
P-07137,Aguilar,Samuel,1933-03-16,1
P-07757,Aguilera,Carlos,1964-09-21,2
P-09611,Aguilera,Carlos,1969-05-22,1
P-05744,Aguilera,Edgar,1975-07-28,1
P-00815,Aguilera,Juan,1903-10-23,1
P-08649,Aguilera,Oscar,1935-03-11,1
P-05308,Aguinaga,Álex,1968-07-09,1
P-00053,Aguirre,Francisco,not available,1
P-05703,Aguirre,Javier,1958-12-01,1
P-03329,Agyei,Daniel,1989-11-10,1
P-04018,Agyemang-Badu,Emmanuel,1990-12-02,1
P-00513,Ahlström,Thomas,1952-07-17,1
P-04700,Åhlund,Olle,1920-08-22,1
P-04020,Ahmadi,Rahman,1980-07-30,1
P-00980,Åhman,Ronald,1957-01-31,1
P-02885,Ahmed,Issah,1982-05-24,1
P-07103,Ahn,Jung-hwan,1976-01-27,3
P-04538,Ahorlu,Stephen,1988-09-05,1
P-01444,Ahumada,Sergio,1948-10-02,1
P-05481,Aigner,Ernst,1966-10-31,1
P-08308,Aimar,Pablo,1979-11-03,2
P-00834,Aird,Jock,1926-02-18,1
P-00577,Airosa,Marco,1984-08-06,1
P-01832,Aït Bennasser,Youssef,1996-07-07,1
P-04735,Aitken,Roy,1958-11-24,2
P-04960,Aiyenugba,Dele,1983-11-20,1
P-04983,Akalé,Kanga,1981-03-07,1
P-07871,Akanji,Manuel,1995-07-19,1
P-01613,Akgün,Kaçmaz,1935-02-19,1
P-04144,Akid,Mohamed,1949-07-05,1
P-09250,Akinfeev,Igor,1986-04-08,2
P-03016,Akita,Yutaka,1970-08-06,2
P-00505,Akoto,Eric,1980-07-20,1
P-05826,Akpa Akpro,Jean-Daniel,1992-10-11,1
P-04202,Akpeyi,Daniel,1986-03-08,1
P-01221,Akwá,not applicable,1977-05-30,1
P-09578,Akwuegbu,Benedict,1974-11-03,1
P-04956,Akyel,Fatih,1977-12-26,1
P-05015,Al-Anazi,Awad,1968-09-24,1
P-00675,Al-Anberi,Abdulaziz,1954-01-03,1
P-03161,Al-Antaif,Tisir,1974-02-16,1
P-02263,Al-Bahri,Ahmed,1980-09-18,1
P-09175,Al-Bishi,Fahad,1965-09-10,1
P-09501,Al-Bishi,Mohamed,1987-05-03,1
P-08579,Al-Breik,Mohammed,1992-09-15,1
P-05231,Al-Bulaihi,Ali,1989-11-21,1
P-09837,Al-Buloushi,Abdulaziz,1962-12-04,1
P-01258,Al-Buloushi,Abdullah,1960-02-16,1
P-06167,Al-Dakhil,Faisal,1957-08-13,1
P-06282,Al-Dawod,Saleh,1968-09-24,1
P-03366,Al-Dawsari,Salem,1991-08-19,1
P-04050,Al-Deayea,Mohamed,1972-08-02,4
P-05688,Al-Dokhi,Ahmed,1976-10-25,3
P-09471,Al-Dosari,Abdullah,1969-11-01,1
P-03206,Al-Dosari,Khamis,1973-09-08,2
P-09549,Al-Dosari,Obeid,1975-10-02,2
P-09480,Al-Faraj,Salman,1989-08-01,1
P-08320,Al-Ghamdi,Omar,1979-04-11,2
P-07084,Al-Ghanim,Nassir,1961-04-04,1
P-03557,Al-Ghesheyan,Fahad,1973-08-01,1
P-02915,Al-Haddad,Abdulrahman,1966-03-23,1
P-07593,Al-Haddad,Muayad,1960-01-01,1
P-00025,Al-Harbi,Ibrahim,1975-07-10,1
P-04969,Al-Harbi,Mansoor,1987-10-19,1
P-09391,Al-Harthi,Mohsin,1976-07-17,1
P-09727,Al-Harthi,Saad,1984-02-03,1
P-02626,Al-Hashash,Sami,1959-09-15,1
P-05225,Al-Helwah,Ibrahim,1972-08-18,1
P-03274,Al-Houti,Saad,1954-05-24,1
P-06162,Al-Jaber,Sami,1972-12-11,4
P-04801,Al-Jahani,Mohammed,1974-09-28,2
P-07894,Al-Janoubi,Abdulaziz,1974-07-21,1
P-05558,Al-Jasem,Waleed,1959-11-18,1
P-00541,Al-Jassim,Taisir,1984-07-25,1
P-03607,Al-Jumaan,Abdullah,1977-11-10,1
P-04959,Al-Khaibari,Abdullah,1996-08-16,1
P-06268,Al-Khaibri,Abdulmalek,1986-03-13,1
P-00947,Al-Khathran,Abdulaziz,1973-07-31,2
P-04851,Al-Khilaiwi,Mohammed,1971-08-21,2
P-06195,Al-Khojali,Mohammed,1973-01-15,1
P-00154,Al-Mayouf,Abdullah,1987-01-23,1
P-00948,Al-Mehallel,Fahad,1970-11-11,2
P-03533,Al-Mogahwi,Housain,1988-03-24,1
P-00596,Al-Montashari,Hamad,1982-06-22,1
P-05438,Al-Mosailem,Yasser,1984-02-27,1
P-07552,Al-Muwallad,Fahad,1994-09-14,1
P-01912,Al-Muwallid,Khalid,1971-11-23,2
P-03228,Al-Owairan,Saeed,1967-08-19,2
P-07471,Al-Owais,Mohammed,1991-10-10,1
P-01126,Al-Qabendi,Jamal,1959-04-07,1
P-00776,Al-Qadi,Naif,1979-04-03,1
P-05687,Al-Qahtani,Yasser,1982-10-10,1
P-00001,Al-Sadiq,Hussein,1973-10-15,2
P-07744,Al-Sahlawi,Mohammad,1987-01-10,1
P-00320,Al-Shahrani,Ibrahim,1974-07-21,2
P-00932,Al-Shahrani,Yasser,1992-05-25,1
P-08380,Al-Shalhoub,Mohammad,1980-12-08,2
P-00883,Al-Shehri,Fouzi,1980-05-15,1
P-05463,Al-Shehri,Yahya,1990-06-26,1
P-03780,Al-Shemmari,Hamoud,1960-09-26,1
P-00586,Al-Suwayed,Yussef,1958-09-20,1
P-08801,Al-Taifi,Yassir,1971-05-10,1
P-08459,Al-Talyani,Adnan,1964-10-30,1
P-02666,Al-Tarabulsi,Ahmed,1947-03-22,1
P-06058,Al-Temyat,Nawaf,1976-06-28,3
P-03419,Al-Thagafi,Mansour,1979-01-14,1
P-04962,Al-Thunayan,Yousuf,1963-11-18,1
P-03511,Al-Waked,Abdullah,1975-09-29,1
P-03991,Al-Yami,Al Hasan,1972-08-21,1
P-07911,Aladzhov,Stefan,1947-10-18,2
P-08079,Alaoui,Ahmed,1949-01-01,1
P-09475,Alaoui,Zakaria,1966-06-17,1
P-09468,Alba,Jordi,1989-03-21,2
P-00209,Albarracín,Ernesto,1907-09-25,1
P-00196,Albelda,David,1977-09-01,2
P-05509,Albert,Flórián,1941-09-15,2
P-01953,Albert,Philippe,1967-08-10,2
P-05084,Albertini,Demetrio,1971-08-23,2
P-02917,Alberto,Carlos,1944-07-17,1
P-07794,Alberto,Julio,1958-10-07,1
P-01240,Albertosi,Enrico,1939-11-02,4
P-04315,Albiol,Raúl,1985-09-04,2
P-08926,Albiston,Arthur,1957-07-14,1
P-09121,Albornoz,Miiko,1990-11-30,1
P-05855,Alborta,Mario,1910-09-19,1
P-01132,Albrecht,Ernst,1907-11-12,1
P-00944,Albrecht,Milan,1950-07-16,1
P-01364,Albrecht,Rafael,1941-08-23,2
P-07922,Albright,Chris,1979-01-14,1
P-00959,Albu,Gheorghe,1909-09-12,1
P-01056,Alcaraz,Antolín,1982-07-30,1
P-01349,Alcaraz,Francisco,1960-10-04,1
P-05612,Alcazar,Joseph,1911-06-15,1
P-01678,Alcindo,not applicable,1945-12-16,1
P-01321,Aldair,not applicable,1965-11-30,3
P-04363,Alderweireld,Toby,1989-03-02,2
P-01301,Aldridge,John,1958-09-18,2
P-01983,Aleinikov,Sergei,1961-11-07,2
P-02429,Alejandrez,Juan Manuel,1944-05-17,1
P-07919,Aleksandrov,Petar,1962-12-07,1
P-00941,Alemão,not applicable,1961-11-22,2
P-08561,Alenemeh,Ahmad,1982-10-10,1
P-06382,Alenichev,Dmitri,1972-10-20,1
P-06236,Alexander-Arnold,Trent,1998-10-07,1
P-06807,Alexandersson,Niclas,1971-12-29,2
P-02484,Alexandris,Alexis,1968-10-21,1
P-02799,Alexanko,José Ramón,1956-05-19,1
P-01134,Alexiou,Alexis,1963-09-08,1
P-08058,Alexoudis,Alexis,1972-06-20,1
P-02274,Alfaro,Mauricio,1956-02-13,1
P-07159,Alfaro,Wardy,1977-12-31,1
P-04450,Alfonso,not applicable,1972-09-26,1
P-00257,Alfredo,not applicable,1920-01-01,1
P-05229,Alfredo,not applicable,1924-10-27,1
P-04621,Alfredo,not applicable,1946-10-18,1
P-05881,Algarañaz,Víctor Celestino,1926-04-06,1
P-00090,Ali,Jamal,1956-02-02,1
P-08466,Alisson,not applicable,1992-10-02,1
P-08532,Alkorta,Rafael,1968-09-16,3
P-04181,Allahverdi,Javad,1954-07-16,1
P-02965,Allan,Thomson,1946-10-05,1
P-05595,Allawi,Karim,1960-04-01,1
P-01903,Allawi,Khalil,1958-09-06,1
P-06184,Allbäck,Marcus,1973-07-05,2
P-06738,Allchurch,Ivor,1929-10-16,1
P-05114,Allchurch,Len,1933-09-12,1
P-05439,Allemandi,Luigi,1903-11-18,1
P-02852,Allemann,Anton,1936-01-06,1
P-08370,Allemann,Willy,1942-06-10,1
P-05297,Allgöwer,Karl,1957-01-05,1
P-02492,Alli,Dele,1996-04-11,1
P-03310,Allofs,Klaus,1956-12-05,1
P-07235,Allofs,Thomas,1959-11-17,1
P-00433,Almeida,André,1990-09-10,1
P-09658,Almeida,Hugo,1984-05-23,2
P-09134,Almeida,not applicable,1910-12-02,1
P-07930,Almeyda,Matías,1973-12-21,2
P-03388,Almgren,Erik,1908-01-28,1
P-08669,Almirón,Sergio,1958-11-18,1
P-05010,Almond,Bobby,1951-04-16,1
P-02913,Alnoudji,Nicolas,1979-12-09,1
P-04807,Aloisi,John,1976-02-05,1
P-02549,Alonso,Faustino,1961-02-15,1
P-05058,Alonso,Gabriel,1923-11-09,1
P-01175,Alonso,Norberto,1953-01-04,1
P-02567,Alonso,Periko,1953-02-01,1
P-03244,Alonso,Xabi,1981-11-25,3
P-00917,Alonzo,Juan,1911-06-24,1
P-09345,Alston,Adrian,1949-02-06,1
P-04236,Altafini,José,1938-07-24,2
P-09882,Altair,not applicable,1938-01-21,2
P-05559,Altidore,Jozy,1989-11-06,2
P-09627,Altobelli,Alessandro,1955-11-28,2
P-08653,Alvarenga,Guido,1970-08-24,1
P-01897,Álvarez,Édgar,1980-01-09,1
P-02421,Álvarez,Edson,1997-10-24,1
P-09305,Álvarez,Eliseo,1940-08-09,2
P-09170,Álvarez,Emilio,1939-02-10,2
P-00193,Álvarez,Leonel,1965-07-29,2
P-09380,Álvarez,Ricky,1988-04-12,1
P-01493,Álvarez Balanta,Éder,1993-02-28,1
P-04844,Álvarez Jiménez,Manuel,1928-05-23,1
P-00739,Álvaro,not applicable,1961-01-03,1
P-06420,Alvbåge,John,1982-08-10,1
P-03645,Alves,Bruno,1981-11-27,3
P-01485,Alves,Dani,1983-05-06,2
P-02498,Álvez,Fernando,1959-09-04,2
P-08656,Alzamendi,Antonio,1956-06-07,2
P-08772,Alzate,Aníbal,1933-01-31,1
P-08366,Amadei,Amedeo,1921-07-26,1
P-00911,Amadò,Lauro,1912-03-14,1
P-08951,Amador,Rafael,1959-02-16,1
P-05397,Amanallah,Azzedine,1956-04-07,1
P-07526,Amancio,not applicable,1939-10-16,1
P-09598,Amara,Mourad,1959-02-19,2
P-04351,Amaral,not applicable,1954-12-25,1
P-09951,Amarildo,not applicable,1939-06-29,1
P-07891,Amarilla,Florencio,1935-01-03,1
P-07825,Ambríz,Ignacio,1965-02-07,1
P-01170,Ambrois,Javier,1932-05-09,1
P-07583,Ambrose,Efe,1988-10-18,1
P-06476,Ambrosi,Paúl,1980-10-14,1
P-01360,Ameen,Mohammed,1980-04-29,1
P-01317,Amelia,Marco,1982-04-02,1
P-02877,Ameobi,Shola,1981-10-12,1
P-03524,Amerhauser,Martin,1974-07-23,1
P-01241,Américo,not applicable,1933-03-06,1
P-04448,Amézcua,Efraín,1907-08-03,1
P-06309,Amiri,Vahid,1988-04-02,1
P-02087,Amoah,Matthew,1980-10-24,2
P-09026,Amokachi,Daniel,1972-12-30,2
P-09312,Amor,Guillermo,1967-12-04,1
P-01772,Amorim,Rúben,1985-01-27,2
P-09137,Amoros,Manuel,1962-02-01,2
P-05620,Amrabat,Nordin,1987-03-31,1
P-00460,Amrabat,Sofyan,1996-08-21,1
P-06569,Amrhein,Tom,not available,1
P-01128,Amundsen,Roald,1913-09-18,1
P-06735,Amunike,Emmanuel,1970-12-25,1
P-02972,Amzine,Gharib,1973-05-03,1
P-07196,An,Chol-hyok,1987-06-27,1
P-04396,An,Ik-soo,1965-05-06,1
P-04100,An,Qi,1981-06-21,1
P-09301,An,Se-bok,1946-10-29,1
P-07604,An,Yong-hak,1978-10-25,1
P-03727,Anastasi,Pietro,1948-04-07,1
P-09972,Ancelotti,Carlo,1959-06-10,2
P-00471,Ancheta,Atilio,1948-07-19,1
P-00042,Andem,William,1968-06-14,1
P-05769,Anderiesen,Wim,1903-11-27,2
P-07817,Andersen,Henrik,1965-05-07,1
P-08849,Andersen,Oddmund,1915-12-21,1
P-02325,Andersen,Stephan,1981-11-26,1
P-07896,Anderson,John,1929-12-08,1
P-01264,Anderson,Stan,1933-02-27,1
P-06092,Anderson,Viv,1956-07-29,2
P-02720,Andersson,Åke,1917-04-22,1
P-07850,Andersson,Andreas,1974-04-10,1
P-04857,Andersson,Björn,1951-07-20,1
P-00789,Andersson,Daniel,1977-08-28,2
P-02904,Andersson,Ernst,1909-03-26,1
P-02236,Andersson,Harry,1913-03-07,1
P-08602,Andersson,Kennet,1967-10-06,1
P-09403,Andersson,Magnus,1958-04-23,1
P-02072,Andersson,Otto,1910-05-07,1
P-08108,Andersson,Patrik,1971-08-18,2
P-00066,Andersson,Roland,1950-03-28,1
P-09257,Andersson,Roy,1949-08-02,1
P-06904,Andersson,Sune,1921-02-22,1
P-03392,Andersson,Sven,1907-02-14,1
P-01306,Andersson,Sven,1963-10-06,1
P-05508,Anderton,Darren,1972-03-03,1
P-08276,Andoire,Numa,1908-03-19,1
P-08775,Andone,Ioan,1960-03-15,1
P-05101,Andonov,Ivaylo,1967-08-14,1
P-03817,Andrade,Jorge,1978-04-09,1
P-01536,Andrade,José Leandro,1901-11-22,1
P-04460,André,António,1957-12-24,1
P-01434,André,Fritz,1946-09-18,1
P-05963,Andreassen,Gunnar,1913-01-05,1
P-09615,Andreolo,Michele,1912-09-06,1
P-07737,Andresen,Hjalmar,1914-07-18,1
P-02858,Andrews,Marvin,1975-12-22,1
P-06617,Andreyev,Sergey,1956-05-16,1
P-04665,Andrinúa,Genar,1964-05-09,1
P-00540,Andrusch,József,1956-03-31,1
P-09090,Andújar,Mariano,1983-07-30,2
P-08486,Anelka,Nicolas,1979-03-14,1
P-03819,Ángel,Miguel,1947-12-24,2
P-05126,Angibeaud,Didier,1974-10-08,1
P-01884,Angoua,Benjamin,1986-11-28,1
P-06501,Anković,Andrija,1937-07-16,1
P-06707,Annan,Anthony,1986-07-21,1
P-06628,Annis,Robert,1928-09-05,1
P-02276,Annovazzi,Carlo,1925-05-24,1
P-08269,Anoul,Léopold,1922-08-19,1
P-04222,Ansaldi,Cristian,1986-09-20,1
P-02640,Ansarifard,Karim,1990-04-03,2
P-08997,Anselmo,Peregrino,1902-04-30,1
P-09805,Antenen,Charles,1929-11-03,3
P-05903,Antognoni,Giancarlo,1954-04-01,2
P-09223,Antoine,Eddy,1949-08-27,1
P-02139,Antonelius,Tomas,1973-05-07,1
P-03259,António,José,1957-10-29,1
P-01214,Antônio,Marco,1951-02-06,2
P-04277,Antúnez,Francisco,1922-11-01,1
P-00361,Anwar,Fuad,1972-10-13,2
P-03121,Anwar,Sutan,1914-03-21,1
P-05128,Anzolin,Roberto,1938-04-18,1
P-00192,Aogo,Dennis,1987-01-14,1
P-09303,Aoudou,Ibrahim,1955-08-23,1
P-06589,Aoyama,Toshihiro,1986-02-22,1
P-02792,Aparicio,Alberto,1923-11-11,1
P-09672,Aparicio,Ernesto,1948-12-28,1
P-02246,Apolloni,Luigi,1967-05-02,1
P-07368,Aponte,Carlos,1939-01-24,1
P-06896,Apostolakis,Stratos,1964-05-11,1
P-09911,Apostolov,Vidin,1941-10-17,1
P-04406,Appiah,Stephen,1980-12-24,2
P-00802,Apukhtin,German,1936-06-12,1
P-04685,Aquilani,Alberto,1984-07-07,1
P-04748,Aquino,Javier,1990-02-11,2
P-05121,Aquino,Pedro,1995-04-13,1
P-07645,Aquino,Silvio,1949-06-30,1
P-05796,Arabov,Nikolay,1953-02-21,1
P-01450,Araken,not applicable,1905-07-17,1
P-01784,Aránguiz,Charles,1989-04-17,1
P-02266,Aranzábal,Agustín,1973-03-15,1
P-04893,Aráoz,Duberty,1920-12-21,1
P-02469,Araquistáin,José,1937-03-04,1
P-08118,Araujo,Miguel,1994-10-24,1
P-00375,Araya,Pedro,1942-01-23,1
P-09705,Arbeloa,Álvaro,1983-01-17,1
P-03976,Arcari,Pietro,1909-12-02,1
P-06905,Arce,Francisco,1971-04-02,2
P-06886,Archibald,Steve,1956-09-27,2
P-08221,Arconada,Luis,1954-06-26,2
P-06578,Ardiles,Osvaldo,1952-08-03,2
P-09068,Arellano,Guillermo,1908-08-21,1
P-08251,Arellano,Jesús,1973-05-08,3
P-02382,Arellano,Raúl,1935-02-28,1
P-07480,Arendse,Andre,1967-06-27,1
P-06190,Areola,Alphonse,1993-02-27,1
P-07625,Arévalo,Edelmiro,1929-01-07,1
P-07722,Arévalo Ríos,Egidio,1982-01-01,2
P-05230,Argemiro,not applicable,1915-06-03,1
P-08381,Argote,Juan,1906-11-25,1
P-09464,Arias,Antonio,1944-10-09,1
P-08907,Arias,Jairo,1938-11-02,1
P-08711,Arias,Joaquín,1914-11-12,1
P-05920,Arias,Santiago,1992-01-13,2
P-06277,Ariel,not applicable,1910-02-22,1
P-01694,Aristizábal,Víctor,1971-12-09,2
P-01553,Arizaga,Oscar,1957-08-20,1
P-02526,Armandinho,not applicable,1911-03-06,1
P-04586,Armani,Franco,1986-10-16,1
P-00507,Armbruster,Kurt,1934-09-16,1
P-02817,Armero,Pablo,1986-11-02,1
P-03452,Armfield,Jimmy,1935-09-21,2
P-06841,Armstrong,Desmond,1964-11-02,1
P-01384,Armstrong,Gerry,1954-05-23,2
P-09779,Armstrong,Ken,1924-06-03,1
P-04793,Árnason,Kári,1982-10-13,1
P-05669,Arnesen,Frank,1956-09-30,1
P-01960,Aros,Mauricio,1976-03-09,1
P-07829,Arraya,Vicente,1921-01-25,1
P-03581,Arricio,Juan,1923-12-11,1
P-06754,Arrizabalaga,Kepa,1994-10-03,1
P-06577,Arroyo,Abdiel,1993-12-13,1
P-03900,Arroyo,Michael,1987-04-23,1
P-02220,Arsenijević,Milorad,1906-06-06,1
P-08750,Artelesa,Marcel,1938-07-02,1
P-04225,Artime,Luis,1938-12-02,1
P-00968,Artner,Peter,1966-05-20,1
P-01161,Arzani,Daniel,1999-01-04,1
P-05615,Arzú,Julio César,1954-06-05,1
P-02987,Asamoah,Gerald,1978-10-03,2
P-01229,Asamoah,Kwadwo,1988-12-09,2
P-06770,Asanović,Aljoša,1965-12-14,1
P-07448,Asatiani,Kakhi,1947-01-01,1
P-03972,Asencio,Nicolás,1975-04-26,1
P-02795,Asensi,Juan Manuel,1949-09-23,1
P-07007,Asensi,Vicente,1919-01-28,1
P-02781,Asensio,Marco,1996-01-21,1
P-02319,Ashraf,Ayman,1991-04-09,1
P-09742,Aşık,Emre,1973-12-13,1
P-01501,Åslund,Sanny,1952-08-29,1
P-06361,Asparuhov,Georgi,1943-05-04,3
P-08847,Aspas,Iago,1987-08-01,1
P-02590,Asprilla,Faustino,1969-11-10,2
P-04611,Assad,Salah,1958-03-13,2
P-04791,Assemoassa,Ludovic,1980-09-18,1
P-07087,Assiri,Muhannad,1986-10-14,1
P-02538,Assou-Ekotto,Benoît,1984-03-24,2
P-08033,Astengo,Eduardo,1905-08-15,1
P-01100,Astle,Jeff,1942-05-13,1
P-01648,Aston,Alfred,1912-05-16,2
